company_name,website,industry
Qonto,https://qonto.com,Fintech
Mistral AI,https://mistral.ai,AI
Pigment,https://pigment.com,SaaS
PayFit,https://payfit.com,HR Tech
Alan,https://alan.com,Health Tech
Doctolib,https://doctolib.fr,Health Tech
Spendesk,https://spendesk.com,Fintech
Aircall,https://aircall.io,SaaS
Contentsquare,https://contentsquare.com,Analytics
Back Market,https://backmarket.com,E-commerce
Sorare,https://sorare.com,Web3
Pennylane,https://pennylane.com,Fintech
Mirakl,https://mirakl.com,E-commerce
Younited,https://younited.com,Fintech
Swile,https://swile.co,HR Tech 
